location,hour,minute,flow,speed
0028,17,46,2500,72
0028,17,48,2450,71
0028,17,48,870,78
0028,17,50,1010,77
0028,17,50,2530,73
0028,17,52,910,77
0028,17,52,2400,71
0028,17,54,2460,68
0028,17,54,940,76
0028,17,56,2310,70
0028,17,56,850,77
0028,17,58,830,79
0028,17,58,2300,72
0028,18,0,780,76
0028,18,0,2530,71
0028,18,2,2130,74
0028,18,2,800,80
0028,18,4,2210,74
0028,18,4,810,81
0028,18,6,710,82
0028,18,6,2100,73
0028,18,8,2440,73
0028,18,8,730,78
0028,18,10,2320,74
0028,18,10,660,81
0028,18,12,2260,73
0028,18,12,810,80
0028,18,14,970,78
0028,18,14,2290,73
0028,18,16,650,82
0028,18,16,2350,73
0028,18,18,2520,73
0028,18,18,960,80
0028,18,20,2300,72
0028,18,20,830,79
0028,18,22,990,80
0028,18,22,2310,72
0028,18,24,750,78
0028,18,24,1820,72
0028,18,26,670,80
0028,18,26,2100,71
0028,18,28,2180,74
0028,18,28,640,78
0031,15,30,1980,82
0031,15,32,2400,83
0031,15,34,2210,84
0031,15,36,2500,83
0031,15,38,2550,84
0031,15,40,2680,82
0031,15,42,2380,84
0031,15,44,2360,84
0031,15,46,2590,84
0031,15,48,2350,82
0031,15,50,2780,82
0031,15,52,2580,84
0031,15,54,2460,82
0031,15,56,2670,82
0031,15,58,2640,83
0031,16,0,2460,82
0031,16,2,2580,84
0031,16,4,2560,82
0031,16,6,2420,84
0031,16,8,2540,84
0031,16,10,2350,84
0031,16,12,2390,83
0031,16,14,2710,82
0031,16,16,2780,82
0031,16,18,2350,82
0031,16,20,2520,83
0031,16,22,2270,84
0031,16,24,2620,83
0031,16,26,2520,84
0031,16,28,2420,85
0031,16,30,2610,83
0031,16,32,2850,84
0031,16,34,2510,84
0031,16,36,3010,82
0031,16,38,2600,83
0031,16,40,3060,82
0031,16,42,2470,83
0031,16,44,2520,84
0031,16,46,3050,82
0031,16,48,3120,83
0031,16,50,2570,82
0031,16,52,3040,81
0031,16,54,2950,83
0031,16,56,2940,83
0031,16,58,2760,84
0031,17,0,3040,81
0031,17,2,2920,82
0031,17,4,2800,82
0031,17,6,2960,83
0031,17,8,3120,82
0031,17,10,3330,82
0031,17,12,3410,81
0031,17,14,3110,81
0031,17,16,3230,83
0031,17,18,3020,81
0031,17,20,3170,81
0031,17,22,3300,82
0031,17,24,2990,82
0031,17,26,3080,82
0031,17,28,3010,82
0031,17,30,3250,80
